ticker,entry_date,exit_date,entry_price,exit_price,return_pct,days_held,action,exit_reason,still_open
NAUKRI.NS,2020-10-15,2020-10-21,738.16,685.25,-7.17,6.0,,signal,
TATAELXSI.NS,2020-10-23,2020-11-12,1546.19,1430.7,-7.47,20.0,,signal,
IPCALAB.NS,2020-10-28,2020-11-12,1159.48,1005.34,-13.29,15.0,,signal,
NAVINFLUOR.NS,2020-10-30,2020-12-15,2254.17,2471.77,9.65,46.0,,signal,
TATACOMM.NS,2020-10-20,2020-12-22,866.15,880.46,1.65,63.0,,signal,
ALKYLAMINE.NS,2020-11-09,2020-12-23,1307.39,1466.16,12.14,44.0,,signal,
CGPOWER.NS,2020-11-14,2020-12-23,37.19,39.02,4.91,39.0,,signal,
ATGL.NS,2020-11-18,2021-01-18,302.06,361.53,19.69,61.0,,signal,
DIXON.NS,2020-12-15,2021-01-27,2617.21,2777.95,6.14,43.0,,signal,
PERSISTENT.NS,2020-12-24,2021-01-28,695.9,722.21,3.78,35.0,,signal,
ATUL.NS,2020-12-24,2021-01-29,6464.9,6238.63,-3.5,36.0,,signal,
AUROPHARMA.NS,2021-01-27,2021-02-02,967.88,900.42,-6.97,6.0,,signal,
ASHOKLEY.NS,2021-02-03,2021-02-23,61.71,56.02,-9.22,20.0,,signal,
TATAELXSI.NS,2020-12-24,2021-02-26,1708.44,2538.8,48.6,64.0,,signal,
HAVELLS.NS,2021-01-29,2021-03-02,1146.02,1086.92,-5.16,32.0,,signal,
HINDZINC.NS,2021-03-03,2021-03-16,208.76,196.51,-5.87,13.0,,signal,
KAJARIACER.NS,2021-01-20,2021-03-19,733.21,898.66,22.56,58.0,,signal,
TATACOMM.NS,2021-03-03,2021-03-19,1174.75,1074.99,-8.49,16.0,,signal,
ASTRAL.NS,2021-02-04,2021-03-25,1103.45,1170.74,6.1,49.0,,signal,
SUNDRMFAST.NS,2021-03-16,2021-03-26,729.18,685.58,-5.98,10.0,,signal,
CGPOWER.NS,2021-03-04,2021-04-23,57.99,65.44,12.86,50.0,,signal,
PERSISTENT.NS,2021-04-09,2021-04-23,968.99,903.21,-6.79,14.0,,signal,
THERMAX.NS,2021-04-28,2021-05-17,1453.1,1377.45,-5.21,19.0,,signal,
ATGL.NS,2021-03-23,2021-06-17,831.91,1322.92,59.02,86.0,,signal,
ALKYLAMINE.NS,2021-04-27,2021-06-25,2753.02,3494.37,26.93,59.0,,signal,
POLYCAB.NS,2021-05-17,2021-07-16,1576.89,1866.12,18.34,60.0,,signal,
LAURUSLABS.NS,2021-04-07,2021-07-26,398.84,639.23,60.27,110.0,,signal,
TTML.NS,2021-06-28,2021-07-26,40.5,35.9,-11.36,28.0,,signal,
ALKYLAMINE.NS,2021-07-26,2021-08-24,4032.1,3933.99,-2.43,29.0,,signal,
JSWENERGY.NS,2021-07-16,2021-08-25,184.28,211.25,14.64,40.0,,signal,
MAXHEALTH.NS,2021-08-31,2021-09-28,358.82,360.76,0.54,28.0,,signal,
LINDEINDIA.NS,2021-08-24,2021-10-20,2038.9,2480.92,21.68,57.0,,signal,
OIL.NS,2021-09-29,2021-10-22,122.73,116.71,-4.91,23.0,,signal,
TATAELXSI.NS,2021-04-06,2021-10-27,2757.37,5706.59,106.96,204.0,,signal,
MPHASIS.NS,2021-06-17,2021-11-24,1879.12,3042.94,61.93,160.0,,signal,
CANBK.NS,2021-11-01,2021-11-24,37.59,37.97,1.0,23.0,,signal,
PERSISTENT.NS,2021-07-26,2021-11-29,1467.24,1835.9,25.13,126.0,,signal,
CGPOWER.NS,2021-10-22,2021-11-30,142.99,144.23,0.86,39.0,,signal,
TRIDENT.NS,2021-10-20,2022-02-11,39.77,54.37,36.73,114.0,,signal,
CGPOWER.NS,2022-08-04,2022-08-30,231.85,221.72,-4.37,26.0,,signal,
BLUEDART.NS,2022-08-01,2022-09-01,8532.75,8449.65,-0.97,31.0,,signal,
SCHAEFFLER.NS,2022-08-01,2022-09-27,2700.06,3140.5,16.31,57.0,,signal,
ATGL.NS,2022-08-30,2022-09-27,3546.38,3367.61,-5.04,28.0,,signal,
NHPC.NS,2022-08-03,2022-09-28,31.79,32.79,3.14,56.0,,signal,
TVSMOTOR.NS,2022-08-01,2022-09-30,894.03,994.46,11.23,60.0,,signal,
INDHOTEL.NS,2022-09-01,2022-10-17,282.27,305.37,8.18,46.0,,signal,
FLUOROCHEM.NS,2022-09-29,2022-10-21,3904.52,3764.79,-3.58,22.0,,signal,
ZFCVINDIA.NS,2022-10-13,2022-10-21,10761.57,10139.7,-5.78,8.0,,signal,
ABFRL.NS,2022-11-01,2022-11-09,357.65,322.1,-9.94,8.0,,stop_loss,
NHPC.NS,2022-10-19,2022-11-21,37.96,37.64,-0.83,33.0,,signal,
FEDERALBNK.NS,2022-10-17,2022-11-22,129.46,130.34,0.68,36.0,,signal,
SKFINDIA.NS,2022-11-10,2022-12-01,4652.09,4615.16,-0.79,21.0,,signal,
INDIANB.NS,2022-10-19,2022-12-13,199.84,251.53,25.87,55.0,,signal,
TIMKEN.NS,2022-11-18,2022-12-19,3509.93,3279.22,-6.57,31.0,,signal,
UNIONBANK.NS,2022-11-21,2022-12-23,67.32,68.37,1.56,32.0,,signal,
BANKINDIA.NS,2022-11-23,2022-12-23,74.39,75.4,1.36,30.0,,signal,
PNB.NS,2022-12-14,2022-12-23,57.32,50.54,-11.83,9.0,,signal,
PFC.NS,2022-12-08,2022-12-26,97.86,90.29,-7.74,18.0,,signal,
GICRE.NS,2023-01-05,2023-01-23,185.2,160.07,-13.57,18.0,,signal,
SOLARINDS.NS,2023-01-02,2023-01-24,4432.91,4070.84,-8.17,22.0,,signal,
PNB.NS,2023-01-17,2023-01-27,56.14,50.97,-9.21,10.0,,signal,
PFC.NS,2023-01-03,2023-01-30,103.41,93.51,-9.58,27.0,,signal,
NHPC.NS,2023-01-18,2023-02-06,36.88,37.06,0.49,19.0,,signal,
INDIANB.NS,2023-02-01,2023-02-09,282.98,267.26,-5.56,8.0,,signal,
RAJESHEXPO.NS,2023-02-06,2023-02-15,947.0,788.35,-16.75,9.0,,signal,
AIAENG.NS,2023-01-31,2023-02-24,2645.59,2652.5,0.26,24.0,,signal,
APLAPOLLO.NS,2023-02-16,2023-03-10,1217.39,1189.68,-2.28,22.0,,signal,
PERSISTENT.NS,2023-02-21,2023-03-13,2491.86,2336.76,-6.22,20.0,,signal,
POLYCAB.NS,2023-02-01,2023-03-14,2902.67,2839.68,-2.17,41.0,,signal,
SUPREMEIND.NS,2023-01-30,2023-03-15,2488.56,2483.23,-0.21,44.0,,signal,
ABCAPITAL.NS,2023-03-02,2023-03-15,152.5,146.4,-4.0,13.0,,signal,
LINDEINDIA.NS,2023-03-10,2023-03-16,4000.87,3657.76,-8.58,6.0,,signal,
MAXHEALTH.NS,2023-04-13,2023-04-25,476.83,444.97,-6.68,12.0,,signal,
INDIANB.NS,2023-04-18,2023-05-11,288.53,265.96,-7.82,23.0,,signal,
BANKINDIA.NS,2023-05-02,2023-05-11,77.88,72.46,-6.96,9.0,,signal,
ABCAPITAL.NS,2023-04-18,2023-05-15,165.9,164.3,-0.96,27.0,,signal,
ZYDUSLIFE.NS,2023-04-19,2023-05-22,506.87,473.85,-6.52,33.0,,signal,
RECLTD.NS,2023-05-02,2023-05-22,114.6,111.09,-3.06,20.0,,signal,
PERSISTENT.NS,2023-05-22,2023-06-12,2401.2,2411.03,0.41,21.0,,signal,
CGPOWER.NS,2023-05-12,2023-06-21,323.99,366.39,13.09,40.0,,signal,
POLYCAB.NS,2023-05-15,2023-06-27,3346.58,3444.78,2.93,43.0,,signal,
MAXHEALTH.NS,2023-05-15,2023-08-02,497.24,570.4,14.71,79.0,,signal,
LTF.NS,2023-06-21,2023-08-07,116.71,124.44,6.62,47.0,,signal,
ABCAPITAL.NS,2023-06-28,2023-08-08,193.2,186.5,-3.47,41.0,,signal,
RADICO.NS,2023-05-22,2023-08-11,1154.43,1351.95,17.11,81.0,,signal,
ASTRAL.NS,2023-08-02,2023-09-04,1986.51,1916.35,-3.53,33.0,,signal,
PFC.NS,2023-08-08,2023-09-04,193.86,185.93,-4.09,27.0,,signal,
LINDEINDIA.NS,2023-09-04,2023-09-20,6552.18,5964.6,-8.97,16.0,,signal,
GMRAIRPORT.NS,2023-08-11,2023-09-21,53.6,60.0,11.94,41.0,,signal,
LUPIN.NS,2023-08-07,2023-09-26,1055.87,1101.29,4.3,50.0,,signal,
TRENT.NS,2023-09-26,2023-10-03,2153.66,2071.08,-3.83,7.0,,index_removal,
PNB.NS,2023-09-28,2023-10-03,78.42,77.03,-1.78,5.0,,index_removal,
JSWENERGY.NS,2023-09-27,2023-10-12,436.48,397.86,-8.85,15.0,,signal,
ESCORTS.NS,2023-10-11,2023-10-25,3368.47,3083.63,-8.46,14.0,,signal,
RECLTD.NS,2023-06-13,2023-10-26,132.79,240.55,81.15,135.0,,signal,
IRFC.NS,2023-09-04,2023-10-26,54.67,65.85,20.45,52.0,,signal,
BSE.NS,2023-10-25,2023-12-28,578.31,752.47,30.11,64.0,,signal,
MCX.NS,2023-10-12,2024-01-11,429.79,612.85,42.59,91.0,,signal,
NMDC.NS,2023-11-13,2024-01-19,51.67,61.71,19.43,67.0,,signal,
PRESTIGE.NS,2023-10-06,2024-01-25,669.89,1177.61,75.79,111.0,,signal,
FACT.NS,2024-01-29,2024-02-06,893.66,785.36,-12.12,8.0,,stop_loss,
RVNL.NS,2024-01-11,2024-02-13,198.31,225.72,13.82,33.0,,signal,
BDL.NS,2023-12-28,2024-02-14,862.15,776.78,-9.9,48.0,,signal,
RECLTD.NS,2024-01-23,2024-02-14,434.1,411.58,-5.19,22.0,,signal,
NHPC.NS,2024-02-06,2024-02-14,100.48,78.89,-21.49,8.0,,signal,
HINDPETRO.NS,2024-02-15,2024-03-01,342.87,322.38,-5.98,15.0,,signal,
PERSISTENT.NS,2023-10-30,2024-03-06,3021.55,4074.78,34.86,128.0,,signal,
HDFCAMC.NS,2024-02-14,2024-03-14,1808.37,1728.82,-4.4,29.0,,signal,
OIL.NS,2024-02-16,2024-03-15,353.02,360.26,2.05,28.0,,signal,
BSE.NS,2024-04-24,2024-05-02,1070.98,949.09,-11.38,8.0,,signal,
MCX.NS,2024-04-10,2024-05-13,752.51,763.26,1.43,33.0,,signal,
INDUSTOWER.NS,2024-04-19,2024-05-13,342.05,329.0,-3.82,24.0,,signal,
DIXON.NS,2024-02-20,2024-05-16,6784.55,8028.56,18.34,86.0,,signal,
NMDC.NS,2024-04-12,2024-05-30,73.72,79.02,7.19,48.0,,signal,
HINDPETRO.NS,2024-05-03,2024-06-06,337.37,318.94,-5.46,34.0,,signal,
HINDZINC.NS,2024-05-14,2024-06-20,527.66,590.0,11.81,37.0,,signal,
THERMAX.NS,2024-05-16,2024-06-21,5097.74,5097.79,0.0,36.0,,signal,
PRESTIGE.NS,2024-06-04,2024-07-05,1746.11,1798.15,2.98,31.0,,signal,
BHARATFORG.NS,2024-06-21,2024-07-15,1783.0,1614.89,-9.43,24.0,,signal,
CGPOWER.NS,2024-05-16,2024-07-22,634.33,672.18,5.97,67.0,,signal,
OFSS.NS,2024-06-07,2024-08-06,7606.09,9410.03,23.72,60.0,,signal,
SUZLON.NS,2024-06-24,2024-09-04,55.45,74.4,34.17,72.0,,signal,
MAXHEALTH.NS,2025-05-16,2025-06-02,1194.32,1128.2,-5.54,17.0,,signal,
MAZDOCK.NS,2025-05-19,2025-06-13,3537.78,3126.64,-11.62,25.0,,signal,
POWERINDIA.NS,2025-05-23,2025-06-13,17305.98,16920.09,-2.23,21.0,,signal,
BSE.NS,2025-06-02,2025-06-20,2690.0,2600.0,-3.35,18.0,,signal,
AIIL.NS,2025-05-29,2025-07-03,474.18,499.22,5.28,35.0,,signal,
MFSL.NS,2025-05-15,2025-07-09,1338.2,1565.0,16.95,55.0,,signal,
LLOYDSME.NS,2025-06-27,2025-07-10,1555.0,1486.8,-4.39,13.0,,signal,
FORTIS.NS,2025-06-27,2025-07-14,792.21,760.1,-4.05,17.0,,signal,
MCX.NS,2025-06-23,2025-07-15,1603.87,1649.7,2.86,22.0,,signal,
UPL.NS,2025-07-18,2025-08-12,694.0,693.7,-0.04,25.0,,signal,
POWERINDIA.NS,2025-07-31,2025-08-20,20694.0,19800.0,-4.32,20.0,,signal,
RADICO.NS,2025-08-04,2025-09-08,2865.0,2785.0,-2.79,35.0,,signal,
PAYTM.NS,2025-07-11,2025-09-23,940.55,1196.2,27.18,74.0,,signal,
DALBHARAT.NS,2025-07-22,2025-09-24,2269.74,2344.6,3.3,64.0,,signal,
AIIL.NS,2025-08-28,2025-09-24,625.8,601.02,-3.96,27.0,,signal,
FORTIS.NS,2025-08-12,2025-09-29,921.95,938.0,1.74,48.0,,signal,
ASHOKLEY.NS,2025-09-24,2025-10-14,141.54,137.0,-3.21,20.0,,signal,
MUTHOOTFIN.NS,2025-09-23,2025-10-28,3044.26,3093.84,1.63,35.0,,signal,
NAM-INDIA.NS,2025-09-26,2025-10-31,850.23,862.9,1.49,35.0,,signal,
INDIANB.NS,2025-09-30,2025-11-25,727.0,855.95,17.74,56.0,,signal,
BANKINDIA.NS,2025-10-28,2025-12-05,139.71,141.5,1.28,38.0,,signal,
MCX.NS,2025-11-27,2025-12-12,2062.1,2004.0,-2.82,15.0,,signal,
ABCAPITAL.NS,2025-10-31,2025-12-18,326.95,347.9,6.41,48.0,,signal,
LTF.NS,2025-09-19,2025-12-22,247.04,301.25,21.94,94.0,,signal,
AUBANK.NS,2025-10-16,2026-01-15,801.25,976.35,21.85,91.0,,signal,
IDFCFIRSTB.NS,2025-12-16,2026-01-15,83.34,83.07,-0.32,30.0,,signal,
ASHOKLEY.NS,2025-12-19,2026-01-22,172.08,185.3,7.68,34.0,,signal,
MUTHOOTFIN.NS,2026-01-30,2026-02-03,3966.46,3693.77,-6.88,4.0,,stop_loss,
NATIONALUM.NS,2025-12-15,2026-02-09,272.91,356.47,30.62,56.0,,signal,
MCX.NS,2025-12-23,2026-02-17,2171.8,2338.8,7.69,56.0,,signal,
OIL.NS,2026-01-30,2026-02-17,503.84,456.81,-9.33,18.0,,signal,
NAM-INDIA.NS,2026-02-04,2026-03-04,928.0,887.0,-4.42,28.0,,signal,
NYKAA.NS,2026-02-09,2026-03-05,277.0,257.3,-7.11,24.0,,signal,
UNIONBANK.NS,2026-02-18,2026-03-10,190.0,182.0,-4.21,20.0,,signal,
MAHABANK.NS,2026-02-19,2026-03-11,69.33,69.05,-0.4,20.0,,signal,
BHARATFORG.NS,2026-02-04,2026-03-16,1538.24,1675.1,8.9,40.0,,signal,
UNIONBANK.NS,2026-04-23,2026-04-27,194.89,177.2,-9.08,4.0,,signal,
BANKINDIA.NS,2026-04-23,2026-04-28,152.01,144.0,-5.27,5.0,,signal,
